# All mods that should be shown in the downgrader
# Format: IsASILoader|IsScriptHook|IsScriptHookHook|IsScriptHookDotNet|RequiresASILoader|RequiresScriptHook|RequiresScriptHookDotNet|CompatibleWithGFWL|CheckedByDefault|FileSize (In Bytes)|ForVersion|Filename|Name|Description|DownloadLink
# Important: The description shouldn't include a "|" char because this would fuck up the parsing in the GTA IV Downgrader.

0|0|0|0|1|0|0|1|0|62704|1070,1080|ColAccel.zip|ColAccel|ColAccel is a .asi plugin for GTA IV and EFLC which creates a 'colCache.dat' file on the first load, containing all the data actually used by the game from the collision meshes and accelerating your game load time by 50% or more. WARNING: ColAccel could cause memory issues. If you have problems like disappearing world, try to remove this mod first.|https://github.com/ClonkAndre/GTAIVDowngraderOnline_Files/raw/main/mods/ColAccel.zip

0|0|0|0|1|0|0|1|0|131957|1070,1080|FusionFix.zip|FusionFix|Fixes issues with Recoil and limits the FPS. FPS limitations are to reduce mission issues.|https://github.com/ClonkAndre/GTAIVDowngraderOnline_Files/raw/main/mods/FusionFix.zip

0|1|0|0|0|0|0|1|0|172353|1070|ScriptHook_1070.zip|ScriptHook for 1.0.7.0|ScriptHook is needed in order to run ASI scripts which were built using aru's Script Hook SDK.|https://github.com/ClonkAndre/GTAIVDowngraderOnline_Files/raw/main/mods/ScriptHook_1070.zip
0|1|0|0|0|0|0|1|0|241281|1080|ScriptHook_1080.zip|ScriptHook for 1.0.8.0|ScriptHook is needed in order to run ASI scripts which were built using aru's Script Hook SDK.|https://github.com/ClonkAndre/GTAIVDowngraderOnline_Files/raw/main/mods/ScriptHook_1080.zip

0|0|0|0|1|0|0|1|0|185008|ALL|SimpleTrafficLoader.zip|Simple Traffic Loader|This mod fixes the famous taxi bug where only taxis spawn on the street. It refreshes the games memory with new vehicles you can specify in the SimpleTrafficLoader.txt file.|https://github.com/ClonkAndre/GTAIVDowngraderOnline_Files/raw/main/mods/SimpleTrafficLoader.zip

0|0|0|0|1|0|0|0|0|57395|ALL|SteamAchievements.zip|SteamAchievements|This mod allows you to get achievements on steam with your downgraded copy of GTA IV.|https://github.com/ClonkAndre/GTAIVDowngraderOnline_Files/raw/main/mods/SteamAchievements.zip

1|0|0|0|0|0|0|0|1|1083425|ALL|xlive.zip|xlive|Recommended ASI Loader that also disables xlive (GFWL). An ASI Loader is required for mods such as ZolikaPatch.|https://github.com/ClonkAndre/GTAIVDowngraderOnline_Files/raw/main/mods/xlive.zip

0|0|0|0|1|0|0|0|0|857678|ALL|ZMenuIV.zip|ZMenuIV v22.08.18.1|A great trainer with many features such as object/vehicle/ped spawning, teleporting, first person, vehicle tuning, built in SCO Loader, Chaos Mod (With Twitch integration), Ped/Car Recording, Memory Editing and much much more! Created by Zolika1351.|https://github.com/ClonkAndre/GTAIVDowngraderOnline_Files/raw/main/mods/ZMenuIV.zip

0|0|0|0|1|0|0|0|1|558969|1070,1080|ZolikaPatch.zip|ZolikaPatch v6.9.4.20|This mod aims to fix & improve various things in GTA IV, such as restoring vehicle shadows in the Booth Tunnel and heli spotlights, removing the mod-only lobby seperation from 1.0.7.0, fixing VRAM issues on patch 7 and below, and removing the requirement to log into Social Club to play Multiplayer.|https://github.com/ClonkAndre/GTAIVDowngraderOnline_Files/raw/main/mods/ZolikaPatch.zip
0|0|0|0|1|0|0|0|1|559134|1040|ZolikaPatch_1040.zip|ZolikaPatch v6.9.4.20 (Configuration file optimized for 1.0.4.0)|This mod aims to fix & improve various things in GTA IV, such as restoring vehicle shadows in the Booth Tunnel and heli spotlights, removing the mod-only lobby seperation from 1.0.7.0, fixing VRAM issues on patch 7 and below, and removing the requirement to log into Social Club to play Multiplayer.|https://github.com/ClonkAndre/GTAIVDowngraderOnline_Files/raw/main/mods/ZolikaPatch_1040.zip
